"Date Printed: Thursday, October 15, 2020 10:18:03 AM"
Title: HIV diagnoses | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | United States | American Indian/Alaska Native | Asian | Black/African American | Hispanic/Latino | Multiple races | Native Hawaiian/Other Pacific Islander | White | Female | Male | 13-24 | 25-34 | 35-44 | 45-54 | 55+ | All transmission categories
Footnote(s): Prevalence: Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address.
Death: Death data based on residence at death.
^ Jurisdiction with incomplete reporting of deaths for most recent year; relevant for HIV deaths, HIV prevalence, AIDS deaths, and AIDS prevalence indicators.
PrEP coverage, reported as a percentage, is calculated as the number of persons aged ≥16 years classified as having been prescribed PrEP divided by the estimated number of persons aged ≥16 years who had indications for PrEP.   Number of persons prescribed, or “cases”, is defined as the number of persons aged ≥16 years classified as having been prescribed PrEP during the specified year.  “Population” is the annual estimated number of persons with PrEP indications. County-level data are only available for the 48 U.S. counties prioritized for Phase I of Ending the HIV Epidemic (EHE) Initiative. Total includes people categorized by IQVIA as Other race.
NA - Not applicable


Year,Race/Ethnicity,Sex,Age Group,Cases,Rate per 100000
"2008","American Indian/Alaska Native","Female","13-24","4","1.7"
"2008","American Indian/Alaska Native","Female","25-34","9","5.4"
"2008","American Indian/Alaska Native","Female","35-44","8","5.1"
"2008","American Indian/Alaska Native","Female","45-54","5","3.0"
"2008","American Indian/Alaska Native","Female","55+","5","2.3"
"2008","American Indian/Alaska Native","Male","13-24","13","5.3"
"2008","American Indian/Alaska Native","Male","25-34","33","19.4"
"2008","American Indian/Alaska Native","Male","35-44","38","24.7"
"2008","American Indian/Alaska Native","Male","45-54","25","16.4"
"2008","American Indian/Alaska Native","Male","55+","5","2.6"
"2008","Asian","Female","13-24","16","1.6"
"2008","Asian","Female","25-34","45","3.8"
"2008","Asian","Female","35-44","24","2.0"
"2008","Asian","Female","45-54","11","1.1"
"2008","Asian","Female","55+","4","0.3"
"2008","Asian","Male","13-24","67","6.5"
"2008","Asian","Male","25-34","207","18.6"
"2008","Asian","Male","35-44","189","17.0"
"2008","Asian","Male","45-54","73","8.3"
"2008","Asian","Male","55+","29","2.5"
"2008","Black/African American","Female","13-24","1,140","30.6"
"2008","Black/African American","Female","25-34","1,812","65.3"
"2008","Black/African American","Female","35-44","1,904","68.3"
"2008","Black/African American","Female","45-54","1,563","56.5"
"2008","Black/African American","Female","55+","773","20.1"
"2008","Black/African American","Male","13-24","3,712","96.8"
"2008","Black/African American","Male","25-34","3,438","130.7"
"2008","Black/African American","Male","35-44","3,250","131.3"
"2008","Black/African American","Male","45-54","2,770","116.7"
