Precinct Name,PRCT,TOTVOTING,USPRSR,USPRSDFL,USPRSGP,Year,VTDID (not),VTDID
AITKIN,5,1024,499,501,2,2008,270010005,
AITKIN TWP,10,512,294,205,0,2008,270010010,
BALL BLUFF TWP,15,187,81,98,1,2008,270010015,
BALSAM TWP,20,30,14,16,0,2008,270010020,
BEAVER TWP,25,34,8,25,0,2008,270010025,
CLARK TWP,30,105,53,50,0,2008,270010030,
CORNISH TWP,35,22,5,14,0,2008,270010035,
UNORG 47-24 (DAVIDSON UNORG),38,24,9,14,0,2008,270010038,
FARM ISLAND TWP,40,750,398,331,0,2008,270010040,
FLEMING TWP,45,234,123,102,2,2008,270010045,
GLEN TWP,50,313,147,164,0,2008,270010050,
HAUGEN TWP,55,116,51,60,0,2008,270010055,
HAZELTON TWP,60,495,234,251,1,2008,270010060,
HILL CITY,65,260,110,140,2,2008,270010065,
HILL LAKE TWP,70,256,108,145,0,2008,270010070,
IDUN TWP,75,130,47,81,0,2008,270010075,
JEVNE TWP,80,159,80,69,1,2008,270010080,
UNORG 45-24 (JEWETT UNORG),82,21,7,11,0,2008,270010082,
KIMBERLY TWP,85,118,64,54,0,2008,270010085,
LAKESIDE TWP,90,344,169,163,0,2008,270010090,
LEE TWP,95,34,20,10,0,2008,270010095,
LIBBY TWP E,100,18,8,10,0,2008,270010100,
LIBBY TWP W,105,9,1,6,0,2008,270010105,
LOGAN TWP,110,98,51,47,0,2008,270010110,
MCGRATH,115,67,41,25,0,2008,270010115,
MCGREGOR,120,150,64,78,0,2008,270010120,
MCGREGOR TWP,125,54,28,24,0,2008,270010125,
MACVILLE TWP,130,108,43,55,1,2008,270010130,
MILLWARD TWP,132,31,12,17,0,2008,270010132,
MALMO TWP,135,236,109,122,0,2008,270010135,
MORRISON TWP,140,109,60,43,0,2008,270010140,
NORDLAND TWP,145,669,348,308,3,2008,270010145,
PALISADE,150,105,45,57,0,2008,270010150,
PLINY TWP,155,39,27,11,0,2008,270010155,
RICE RIVER TWP,160,89,50,38,0,2008,270010160,
SALO TWP,165,59,18,37,1,2008,270010165,
SEAVEY TWP,170,38,22,12,0,2008,270010170,
SHAMROCK TWP,175,750,359,373,0,2008,270010175,
SPALDING TWP,180,115,37,76,0,2008,270010180,
SPENCER TWP,185,331,169,153,0,2008,270010185,
TAMARACK,190,35,9,25,0,2008,270010190,
TURNER TWP,195,115,55,56,0,2008,270010195,
VERDON TWP,200,34,17,15,0,2008,270010200,
WAGNER TWP,205,207,96,103,0,2008,270010205,
WAUKENABO TWP,210,199,91,103,0,2008,270010210,
WEALTHWOOD TWP,215,200,77,121,0,2008,270010215,
WHITE PINE TWP,220,24,18,6,0,2008,270010220,
WILLIAMS TWP,225,70,30,37,0,2008,270010225,
WORKMAN TWP,230,122,68,51,0,2008,270010230,
NORTHEAST UNORG TOWNS,240,31,24,5,0,2008,270010240,
UNORG TOWN 48-27 (BLIND LAKE UNORG),255,24,11,12,0,2008,270010255,
UNORG NW AITKIN P2,260,79,44,35,0,2008,270010260,
UNORG TOWN 51-27 (LEMAY UNORG),285,22,8,14,0,2008,270010285,
UNORG NW AITKIN P1,290,50,28,16,2,2008,270010290,
ANDOVER P-01,1010,1975,1236,699,4,2008,270021010,
ANDOVER P-02,1020,1910,1098,774,3,2008,270021020,
ANDOVER P-03,1030,1464,841,590,3,2008,270021030,
ANDOVER P-04,1040,966,562,382,0,2008,270021040,
ANDOVER P-05,1050,1405,744,629,0,2008,270021050,
ANDOVER P-06,1060,1622,984,625,2,2008,270021060,
ANDOVER P-07,1070,2650,1586,1024,0,2008,270021070,
ANDOVER P-08,1080,2085,1235,824,3,2008,270021080,
ANDOVER P-09,1090,1641,962,629,3,2008,270021090,
ANDOVER P-10,1100,1905,1090,793,1,2008,270021100,
ANOKA P-1,1210,922,406,482,1,2008,270021210,
ANOKA P-2,1220,1177,541,609,1,2008,270021220,
ANOKA P-3,1230,1224,603,599,3,2008,270021230,
ANOKA P-4,1240,1183,549,602,1,2008,270021240,
ANOKA P-5,1250,1094,524,531,3,2008,270021250,
ANOKA P-6,1260,984,405,561,3,2008,270021260,
ANOKA P-7,1270,1204,548,614,2,2008,270021270,
ANOKA P-8,1280,1134,591,520,1,2008,270021280,
BETHEL P-1,1410,275,153,114,1,2008,270021410,
BLAINE D-1 P-1,1610,1063,536,502,2,2008,270021610,
BLAINE D-1 P-2,1630,1919,908,970,2,2008,270021630,
BLAINE D-1 P-3,1640,975,407,541,3,2008,270021640,
BLAINE D-1 P-4,1650,1028,446,547,5,2008,270021650,
BLAINE D-1 P-5,1660,1390,595,763,2,2008,270021660,
BLAINE D-1 P-6,1670,1185,494,658,3,2008,270021670,
BLAINE D-1 P-7,1680,1095,509,548,4,2008,270021680,
BLAINE D-2 P-1,1810,1341,681,634,0,2008,270021810,
BLAINE D-2 P-2,1820,1503,670,819,1,2008,270021820,
BLAINE D-2 P-3,1840,1697,765,879,4,2008,270021840,
BLAINE D-2 P-4,1850,1564,722,807,6,2008,270021850,
BLAINE D-2 P-5,1860,933,407,505,0,2008,270021860,
BLAINE D-2 P-6,1870,1106,458,627,2,2008,270021870,
BLAINE D-2 P-7,1872,1282,674,582,2,2008,270021872,
BLAINE D-2 P-8,1875,1537,816,697,1,2008,270021875,
BLAINE D-2 P-9,1880,2392,1284,1072,2,2008,270021880,
BLAINE D-3 P-1,2010,1531,769,729,0,2008,270022010,
BLAINE D-3 P-2,2020,2611,1392,1160,2,2008,270022020,
BLAINE D-3 P-3,2040,1936,943,949,2,2008,270022040,
BLAINE D-3 P-4,2050,1405,635,736,3,2008,270022050,
BLAINE D-3 P-5,2060,771,305,444,2,2008,270022060,
BLAINE D-3 P-6,2070,667,322,324,0,2008,270022070,
CENTERVILLE P-1,2410,2197,1219,930,4,2008,270022410,
CIRCLE PINES P-1,2610,1167,531,594,5,2008,270022610,
CIRCLE PINES P-2,2620,1960,917,1001,0,2008,270022620,
COLUMBIA HEIGHTS P-1,2810,1436,475,909,5,2008,270022810,
COLUMBIA HEIGHTS P-2,2820,1289,415,825,8,2008,270022820,
COLUMBIA HEIGHTS P-3,2830,1263,393,835,4,2008,270022830,
COLUMBIA HEIGHTS P-4,2840,1197,400,769,2,2008,270022840,
COLUMBIA HEIGHTS P-5,2850,1209,443,726,3,2008,270022850,
COLUMBIA HEIGHTS P-6,2860,1182,478,671,0,2008,270022860,
COLUMBIA HEIGHTS P-7,2870,1164,445,681,3,2008,270022870,
COLUMBIA HEIGHTS P-8,2880,1198,414,755,1,2008,270022880,
COLUMBUS P-1,3010,2488,1401,1028,5,2008,270023010,
COON RAPIDS W-1 P-1,3210,1575,816,723,3,2008,270023210,
COON RAPIDS W-1 P-2,3220,1625,758,813,2,2008,270023220,
COON RAPIDS W-1 P-3,3230,1925,994,889,5,2008,270023230,
COON RAPIDS W-1 P-4,3240,2048,1135,887,1,2008,270023240,
COON RAPIDS W-2 P-1,3410,2340,1153,1150,4,2008,270023410,
COON RAPIDS W-2 P-2,3420,1937,980,920,2,2008,270023420,
COON RAPIDS W-2 P-3,3430,1983,948,995,2,2008,270023430,
COON RAPIDS W-2 P-4,3440,1702,757,901,4,2008,270023440,
COON RAPIDS W-3 P-1,3610,1453,645,778,1,2008,270023610,
COON RAPIDS W-3 P-2,3620,2037,965,1025,2,2008,270023620,
COON RAPIDS W-3 P-3,3630,1383,630,717,1,2008,270023630,
COON RAPIDS W-3 P-4,3640,1689,747,904,3,2008,270023640,
COON RAPIDS W-4 P-1,3810,634,264,349,3,2008,270023810,
COON RAPIDS W-4 P-2,3820,1754,802,912,4,2008,270023820,
COON RAPIDS W-4 P-3,3830,1376,661,686,2,2008,270023830,
COON RAPIDS W-4 P-4,3840,1304,575,687,4,2008,270023840,
COON RAPIDS W-4 P-5,3850,1436,653,745,4,2008,270023850,
COON RAPIDS W-5 P-1,4010,1197,552,619,1,2008,270024010,
COON RAPIDS W-5 P-2,4020,1139,501,609,3,2008,270024020,
COON RAPIDS W-5 P-3,4030,1488,653,790,3,2008,270024030,
COON RAPIDS W-5 P-4,4040,1157,517,605,1,2008,270024040,
COON RAPIDS W-5 P-5,4050,1330,611,695,2,2008,270024050,
EAST BETHEL P-1,4210,2116,1208,869,1,2008,270024210,
EAST BETHEL P-2,4220,2252,1265,933,3,2008,270024220,
EAST BETHEL P-3,4230,1986,1108,825,6,2008,270024230,
FRIDLEY W-1 P-1,4410,1237,539,665,2,2008,270024410,
FRIDLEY W-1 P-2,4420,1283,543,709,1,2008,270024420,
FRIDLEY W-1 P-3,4430,1324,493,796,3,2008,270024430,
FRIDLEY W-1 P-4,4440,1150,435,694,0,2008,270024440,
FRIDLEY W-2 P-1,4610,1089,448,619,1,2008,270024610,
