Room,WeekDay,Time,Course,Section,Instructor,Dates
GI155,Monday,1000 - 1050,STAT210 - Statistics,2,Malone,01/13/2020 - 05/01/2020
GI155,Monday,1100 - 1150,MATH110 - Finite Mathematics,1,Windsperger,01/13/2020 - 05/01/2020
GI155,Monday,1300 - 1350,STAT210 - Statistics,1,Malone,01/13/2020 - 05/01/2020
GI155,Monday,1300 - 1500,STAT210 - Statistics,1,FINAL EXAM,05/04/2020 - 05/04/2020
GI155,Tuesday,0800 - 0920,MATH140 - Applied Calculus,2,Williams,01/13/2020 - 05/01/2020
GI155,Tuesday,0930 - 1050,MATH140 - Applied Calculus,5,Errthum,01/13/2020 - 05/01/2020
GI155,Tuesday,1300 - 1500,MATH140 - Applied Calculus,4,FINAL EXAM,05/05/2020 - 05/05/2020
GI155,Tuesday,1400 - 1520,MATH140 - Applied Calculus,4,"Schmidt
Williams",01/13/2020 - 05/01/2020
GI155,Wednesday,0800 - 1000,STAT210 - Statistics,2,FINAL EXAM,05/06/2020 - 05/06/2020
GI155,Wednesday,1000 - 1050,STAT210 - Statistics,2,Malone,01/13/2020 - 05/01/2020
GI155,Wednesday,1100 - 1150,MATH110 - Finite Mathematics,1,Windsperger,01/13/2020 - 05/01/2020
GI155,Wednesday,1200 - 1250,DSCI395 - Professional Skill Development for Data Sciences,1,,01/13/2020 - 05/01/2020
GI155,Wednesday,1200 - 1250,DSCI495 - Communication of Capstone Outcomes,1,,01/13/2020 - 05/01/2020
GI155,Wednesday,1200 - 1250,MATH395 -  Professional Skill Development for Mathematics,1,,01/13/2020 - 05/01/2020
GI155,Wednesday,1200 - 1250,STAT395 - Professional Skill Development for Statistics,1,,01/13/2020 - 05/01/2020
GI155,Wednesday,1200 - 1250,STAT495 - Communication of Capstone Outcomes,1,Malone,01/13/2020 - 05/01/2020
GI155,Wednesday,1300 - 1350,STAT210 - Statistics,1,Malone,01/13/2020 - 05/01/2020
GI155,Wednesday,1300 - 1500,MATH140 - Applied Calculus,5,FINAL EXAM,05/06/2020 - 05/06/2020
